,Epochs,Cuttent_State,Next_State,Reward,Epsilon_Boolean,Epsilon,Action,Current_Q_Value,Next_Q_Value,Reawrd_Plus_Next_Q_Value,Loss,Pit_Position,Goal_Position,Wall_Position,Weight_Current,Weight__Next,Step,Weight_Diff,Gradient
0,1,"(0, 3)","(1, 3)",-1,1,1.0,d,0.025404833257198334,0.0894877165555954,-0.9194610714912415,0.8927715420722961,"(0, 1)","(0, 0)","(1, 1)",-0.071608,-0.073498,1,-0.001889999999999989,-1.8899999999999888
1,1,"(1, 3)","(0, 3)",-1,1,1.0,u,-0.07897887378931046,0.17524725198745728,-0.842277467250824,0.5826247334480286,"(0, 1)","(0, 0)","(1, 1)",0.004961,0.003434,2,-0.0015270000000000001,-1.5270000000000001
2,1,"(0, 3)","(0, 3)",-1,1,1.0,r,0.17738229036331177,0.17635440826416016,-0.8412810564041138,1.037675142288208,"(0, 1)","(0, 0)","(1, 1)",-0.015906,-0.017944,3,-0.0020380000000000016,-2.0380000000000016
3,1,"(0, 3)","(0, 2)",-1,1,1.0,l,-0.10656064003705978,0.10659967362880707,-0.9040603041648865,0.636005699634552,"(0, 1)","(0, 0)","(1, 1)",-0.085343,-0.086938,4,-0.0015949999999999992,-1.594999999999999
4,1,"(0, 2)","(0, 1)",-10,1,1.0,l,-0.10083010047674179,0.1279042363166809,-10.0,97.99356842041016,"(0, 1)","(0, 0)","(1, 1)",-0.086938,-0.106736,5,-0.019797999999999996,-19.797999999999995
5,2,"(0, 3)","(1, 3)",-1,1,0.998,d,0.016347989439964294,0.08571556210517883,-0.9228559732437134,0.8821040987968445,"(0, 1)","(0, 0)","(1, 1)",-0.073498,-0.075376,6,-0.0018780000000000047,-1.8780000000000046
6,2,"(1, 3)","(0, 3)",-1,1,0.998,u,-0.09341762959957123,0.16233253479003906,-0.8539007306098938,0.5783345103263855,"(0, 1)","(0, 0)","(1, 1)",0.003434,0.001913,7,-0.001521,-1.521
7,2,"(0, 3)","(1, 3)",-1,1,0.998,d,-0.005141399800777435,0.08654171228408813,-0.9221124649047852,0.8408359885215759,"(0, 1)","(0, 0)","(1, 1)",-0.075376,-0.07721,8,-0.0018340000000000023,-1.8340000000000023
8,2,"(1, 3)","(1, 3)",-1,1,0.998,r,0.08712112903594971,0.0869402140378952,-0.9217538237571716,1.0178285837173462,"(0, 1)","(0, 0)","(1, 1)",-0.017944,-0.019961,9,-0.002016999999999998,-2.016999999999998
9,2,"(1, 3)","(2, 3)",-1,1,0.998,d,-0.025422338396310806,0.10548263788223267,-0.905065655708313,0.7737723588943481,"(0, 1)","(0, 0)","(1, 1)",-0.07721,-0.078969,10,-0.0017589999999999967,-1.7589999999999966
10,2,"(2, 3)","(2, 2)",-1,1,0.998,l,-0.2872060537338257,0.12320095300674438,-0.8891191482543945,0.362299382686615,"(0, 1)","(0, 0)","(1, 1)",-0.106736,-0.10794,11,-0.0012039999999999967,-1.2039999999999966
11,2,"(2, 2)","(2, 1)",-1,1,0.998,l,-0.30919161438941956,0.09320896118879318,-0.916111946105957,0.36835232377052307,"(0, 1)","(0, 0)","(1, 1)",-0.10794,-0.109154,12,-0.0012140000000000067,-1.2140000000000066
12,2,"(2, 1)","(3, 1)",-1,1,0.998,d,-0.020360935479402542,0.1110410988330841,-0.9000630378723145,0.7738757729530334,"(0, 1)","(0, 0)","(1, 1)",-0.078969,-0.080729,13,-0.0017599999999999977,-1.7599999999999976
13,2,"(3, 1)","(3, 0)",-1,1,0.998,l,-0.33176493644714355,0.09533796459436417,-0.9141958355903625,0.33922573924064636,"(0, 1)","(0, 0)","(1, 1)",-0.109154,-0.110319,14,-0.0011649999999999994,-1.1649999999999994
14,2,"(3, 0)","(3, 0)",-1,1,0.998,l,-0.31547433137893677,0.10826355218887329,-0.9025627970695496,0.3446728587150574,"(0, 1)","(0, 0)","(1, 1)",-0.110319,-0.111493,15,-0.0011739999999999945,-1.1739999999999944
15,2,"(3, 0)","(3, 0)",-1,1,0.998,l,-0.3328481614589691,0.10119257867336273,-0.9089266657829285,0.33186647295951843,"(0, 1)","(0, 0)","(1, 1)",-0.111493,-0.112645,16,-0.0011520000000000002,-1.1520000000000001
16,2,"(3, 0)","(3, 0)",-1,1,0.998,l,-0.34079477190971375,0.10188525915145874,-0.9083032608032227,0.3220658600330353,"(0, 1)","(0, 0)","(1, 1)",-0.112645,-0.11378,17,-0.001135000000000011,-1.135000000000011
17,2,"(3, 0)","(2, 0)",-1,1,0.998,u,-0.12083606421947479,0.14769679307937622,-0.8670728802680969,0.556869387626648,"(0, 1)","(0, 0)","(1, 1)",0.001913,0.000421,18,-0.001492,-1.492
18,2,"(2, 0)","(2, 0)",-1,1,0.998,l,-0.37492480874061584,0.14206930994987488,-0.8721376061439514,0.24722056090831757,"(0, 1)","(0, 0)","(1, 1)",-0.11378,-0.114775,19,-0.0009949999999999959,-0.9949999999999959
19,2,"(2, 0)","(2, 0)",-1,1,0.998,l,-0.38195616006851196,0.14823698997497559,-0.8665866851806641,0.23486675322055817,"(0, 1)","(0, 0)","(1, 1)",-0.114775,-0.115744,20,-0.0009689999999999976,-0.9689999999999976
20,2,"(2, 0)","(3, 0)",-1,1,0.998,d,-0.0668082982301712,0.1086532473564148,-0.9022120833396912,0.6978995203971863,"(0, 1)","(0, 0)","(1, 1)",-0.080729,-0.0824,21,-0.0016710000000000058,-1.6710000000000058
21,2,"(3, 0)","(3, 0)",-1,1,0.998,l,-0.3709751069545746,0.1137729287147522,-0.8976043462753296,0.27733832597732544,"(0, 1)","(0, 0)","(1, 1)",-0.115744,-0.116797,22,-0.0010529999999999984,-1.0529999999999984
22,2,"(3, 0)","(3, 0)",-1,1,0.998,l,-0.3861027657985687,0.1075281947851181,-0.9032246470451355,0.2674150764942169,"(0, 1)","(0, 0)","(1, 1)",-0.116797,-0.117832,23,-0.0010350000000000081,-1.0350000000000081
23,2,"(3, 0)","(2, 0)",-1,1,0.998,u,-0.13694067299365997,0.15547466278076172,-0.8600727915763855,0.5229200720787048,"(0, 1)","(0, 0)","(1, 1)",0.000421,-0.001025,24,-0.001446,-1.446
24,2,"(2, 0)","(2, 1)",-1,1,0.998,r,0.1570761501789093,0.11169198155403137,-0.8994772434234619,1.1163049936294556,"(0, 1)","(0, 0)","(1, 1)",-0.019961,-0.022074,25,-0.0021130000000000003,-2.1130000000000004
25,2,"(2, 1)","(2, 0)",-1,1,0.998,l,-0.44260257482528687,0.123553566634655,-0.8888018131256104,0.199093759059906,"(0, 1)","(0, 0)","(1, 1)",-0.117832,-0.118724,26,-0.00089199999999999,-0.89199999999999
