,Epochs,Current_State,Pit_Position,Goal_Position,Wall_Position,Action,Reward,Next_State,Epsilon_Boolean,Q_Max,Q1_Current,Q2_Current,Q3_Current,Q4_Current,Q1_Next,Q2_Next,Q3_Next,Q4_Next,Q_Next_Max,Y
5,0,3,7,5,10,0,-1,3,0,0.0253959037363529,0.0253959037363529,-0.0294850729405879,-0.0589225701987743,-0.0967609509825706,0.0254326052963733,-0.0292914919555187,-0.0591658353805542,-0.096790425479412,0.0254326052963733,-0.977110655233264
8,1,10,12,2,4,0,-1,6,0,0.0411471426486969,0.0411471426486969,-0.0755878239870071,-0.0580807030200958,-0.1202150732278823,0.0531554445624351,-0.06351138651371,-0.0660933032631874,-0.1220140308141708,0.0531554445624351,-0.9521600998938085
9,1,6,12,2,4,0,10,2,0,0.0531554445624351,0.0531554445624351,-0.06351138651371,-0.0660933032631874,-0.1220140308141708,0.0666738599538803,-0.0611867383122444,-0.0859268605709075,-0.1211377158761024,0.0666738599538803,10.0
10,2,9,6,7,10,0,-1,5,0,0.0661365911364555,0.0661365911364555,-0.0469628684222698,-0.0713528394699096,-0.1126639246940612,0.0623536594212055,-0.0386278368532657,-0.0844612568616867,-0.1111088916659355,0.0623536594212055,-0.9438817065209152
73,3,0,2,4,5,0,-1,0,0,0.0198663808405399,0.0198663808405399,-0.0605677179992198,-0.0655176490545272,-0.1094077974557876,0.019620444625616,-0.0607398487627506,-0.0655178502202034,-0.1092709526419639,0.019620444625616,-0.9823415998369456
80,3,1,2,4,5,0,-1,1,0,0.0222751647233963,0.0222751647233963,-0.062778815627098,-0.0507240779697895,-0.129858911037445,0.0226738490164279,-0.0621632859110832,-0.0515110120177269,-0.1290773749351501,0.0226738490164279,-0.9795935358852148
101,4,3,5,10,8,0,-1,3,0,0.0287087615579366,0.0287087615579366,-0.0498053170740604,-0.0408930666744709,-0.1364360749721527,0.0286992266774177,-0.0494292043149471,-0.0405688807368278,-0.1367660164833068,0.0286992266774177,-0.974170695990324
110,4,1,5,10,8,0,-1,1,0,0.0385130383074283,0.0385130383074283,-0.0614634379744529,-0.0452777184545993,-0.1149245798587799,0.038203302770853,-0.0617930218577384,-0.0451900735497474,-0.1150666028261184,0.038203302770853,-0.9656170275062322
124,4,0,5,10,8,0,-1,0,0,0.0316809080541133,0.0316809080541133,-0.0749817788600921,-0.0528883039951324,-0.1277952343225479,0.0321822315454483,-0.074390061199665,-0.053570844233036,-0.1272794157266616,0.0321822315454483,-0.9710359916090964
132,4,2,5,10,8,0,-1,2,0,0.0493244417011737,0.0493244417011737,-0.0739431828260421,-0.0530953109264373,-0.1208701282739639,0.0493883267045021,-0.0733291208744049,-0.0536863543093204,-0.1209691911935806,0.0493883267045021,-0.955550505965948
133,5,13,15,7,12,0,-1,9,0,0.0244642198085784,0.0244642198085784,-0.0540951713919639,-0.0694134458899498,-0.0966074541211128,0.0295225773006677,-0.0695357471704483,-0.0710326805710792,-0.0951452553272247,0.0295225773006677,-0.973429680429399
149,5,1,15,7,12,0,-1,1,0,0.0361138246953487,0.0361138246953487,-0.0503219813108444,-0.0595637187361717,-0.1090367957949638,0.0360732525587081,-0.0501747764647007,-0.0594956651329994,-0.1091374233365058,0.0360732525587081,-0.9675340726971626
