,Epochs,Current_State,Next_State,Reward,Epsilon_Boolean,Epsilon,Action,Current_Q_Value,Next_Q_Value,Reawrd_Plus_Next_Q_Value,Loss,Pit_Position,Goal_Position,Wall_Position,CurWeight[0],CurWeight[1],CurWeight[2],CurWeight[3],NextWeight[0],NextWeight[1],NextWeight[2],NextWeight[3],Step
0,131,3,3,-1,1,0.13333333333333086,0,-0.7666059732437134,0.38258659839630127,-0.6556720733642578,0.012306329794228077,1,0,5,-0.03773,-0.03773,-0.03773,-0.03773,-0.037654,-0.108119,0.096861,-0.030044,3382
1,131,3,3,-1,1,0.13333333333333086,3,0.13647250831127167,0.760972797870636,-0.31512451171875,0.20393988490104675,1,0,5,-0.037654,-0.037654,-0.037654,-0.037654,-0.037586,-0.108234,0.096841,-0.030133,3383
2,131,3,7,-1,0,0.13333333333333086,1,0.7546360492706299,1.9510467052459717,0.7559419870376587,1.705473437141336e-06,1,0,5,-0.037586,-0.037586,-0.037586,-0.037586,-0.037525,-0.108336,0.096822,-0.030213,3384
3,131,7,11,-1,0,0.13333333333333086,1,1.9623223543167114,3.93599534034729,2.542395830154419,0.33648523688316345,1,0,5,-0.037525,-0.037525,-0.037525,-0.037525,-0.037469,-0.108273,0.096805,-0.030285,3385
4,131,11,10,-1,0,0.13333333333333086,2,3.960439920425415,5.001872539520264,3.50168514251709,0.21045593917369843,1,0,5,-0.037469,-0.037469,-0.037469,-0.037469,-0.037419,-0.108216,0.096735,-0.03035,3386
5,131,10,9,-1,0,0.13333333333333086,2,4.991349697113037,6.265305519104004,4.638774871826172,0.1243090108036995,1,0,5,-0.037419,-0.037419,-0.037419,-0.037419,-0.037375,-0.108165,0.096629,-0.030408,3387
6,131,9,8,-1,0,0.13333333333333086,2,6.24762487411499,8.31476879119873,6.4832916259765625,0.05553881824016571,1,0,5,-0.037375,-0.037375,-0.037375,-0.037375,-0.037334,-0.108119,0.096562,-0.030461,3388
7,131,8,4,-1,0,0.13333333333333086,0,8.325154304504395,10.474467277526855,8.427020072937012,0.010376635007560253,1,0,5,-0.037334,-0.037334,-0.037334,-0.037334,-0.037289,-0.108077,0.096501,-0.030508,3389
8,131,4,0,10,0,0.13333333333333086,0,10.488761901855469,5.988265037536621,10.0,0.2388882040977478,1,0,5,-0.037289,-0.037289,-0.037289,-0.037289,-0.037291,-0.10804,0.096447,-0.030551,3390
9,132,3,7,-1,0,0.1266666666666642,1,1.0117439031600952,2.1387486457824707,0.9248737096786499,0.007546430453658104,1,0,5,-0.037291,-0.037291,-0.037291,-0.037291,-0.037292,-0.10803,0.096398,-0.030589,3391
