,Current_State,Pit_Position,Goal_Position,Wall_Position,Q_Max,level_5,Action
1,0,1,2,9,1.18992280960083,0,0
16,0,2,3,13,1.1637111902236938,0,2
27,0,2,6,1,4.289520263671875,0,3
40,0,2,8,4,5.075333595275879,0,1
50,0,2,9,4,2.750318765640259,0,2
86,0,2,12,7,5.4715375900268555,0,0
89,0,3,1,12,-0.7803244590759277,0,2
93,0,3,2,9,5.572022438049316,0,0
95,0,3,7,8,-4.16837739944458,0,2
116,0,3,8,12,5.2675371170043945,0,2
123,0,3,10,1,5.150052070617676,0,3
129,0,3,13,4,3.3765037059783936,0,1
144,0,3,14,4,-6.499517917633057,0,2
164,0,4,7,14,3.654735803604126,0,2
171,0,4,8,6,3.22217059135437,0,2
198,0,4,14,5,2.9151620864868164,0,2
235,0,5,11,9,2.925525188446045,0,0
244,0,6,8,12,6.183359622955322,0,2
260,0,6,10,13,-4.184397220611572,0,2
265,0,6,11,1,2.9600002765655518,0,3
284,0,6,13,12,0.9922797679901123,0,2
324,0,7,11,1,4.361802101135254,0,3
346,0,8,5,13,-1.394193410873413,0,0
370,0,8,11,1,4.504987716674805,0,3
394,0,8,13,6,-1.0592081546783447,0,2
426,0,9,2,14,6.147191047668457,0,2
435,0,9,11,7,3.6354260444641113,0,0
436,0,9,11,8,3.9453303813934326,0,0
456,0,10,5,3,0.11434062570333481,0,0
486,0,10,12,2,0.32050153613090515,0,2
510,0,10,13,1,3.407451629638672,0,3
511,0,10,13,4,1.6327776908874512,0,1
529,0,10,14,6,-0.22320738434791565,0,2
533,0,11,6,14,5.898540496826172,0,2
534,0,11,7,6,1.569429874420166,0,2
537,0,11,7,10,4.022987365722656,0,2
544,0,11,7,14,0.8636226654052734,0,2
548,0,11,9,1,7.485472679138184,0,3
565,0,11,13,3,2.5162739753723145,0,2
570,0,12,6,10,7.6380205154418945,0,2
571,0,12,7,1,3.76594614982605,0,3
574,0,12,8,11,4.7931599617004395,0,2
584,0,12,9,10,-3.1298418045043945,0,2
588,0,12,9,13,0.2125074416399002,0,2
634,0,13,3,9,4.531223297119141,0,0
706,0,13,14,4,-4.79538106918335,0,2
730,0,14,7,3,-0.3735707700252533,0,2
780,0,14,13,4,-1.1238150596618652,0,1
812,0,14,13,6,1.499030590057373,0,0
815,0,14,15,11,3.2082557678222656,0,2
840,0,15,2,1,4.534636497497559,0,3
850,0,15,3,7,5.123997211456299,0,2
874,0,15,11,14,0.08590290695428848,0,0
894,0,15,13,14,2.6006364822387695,0,2
895,0,1,2,7,5.321890354156494,0,3
897,0,1,13,9,1.4056097269058228,0,3
899,0,2,1,5,5.933996200561523,0,3
900,0,2,5,10,8.029400825500488,0,3
901,0,2,10,14,6.825113296508789,0,3
902,0,2,12,4,0.05794563144445419,0,3
905,0,2,12,15,-5.712299823760986,0,3
906,0,2,15,13,1.310394048690796,0,3
907,0,3,1,8,7.801636219024658,0,3
908,0,3,1,14,8.798294067382812,0,3
909,0,3,2,6,5.404496192932129,0,3
911,0,3,2,10,-7.245860576629639,0,3
